,episode_name,tv_show_name,imdb_ratings,runtime_in_mins,director,season
0,3 AM,The Punisher,8.7,51,Tom Shankland,Season 1 | Episode 1
1,Two Dead Men,The Punisher,8.4,57,Tom Shankland,Season 1 | Episode 2
2,Kandahar,The Punisher,8.6,58,Andy Goddard,Season 1 | Episode 3
3,Resupply,The Punisher,8.5,49,Kari Skogland,Season 1 | Episode 4
4,Gunner,The Punisher,8.8,55,Dearbhla Walsh,Season 1 | Episode 5
5,The Judas Goat,The Punisher,8.4,55,Jeremy Webb,Season 1 | Episode 6
6,Crosshairs,The Punisher,8.8,49,Andy Goddard,Season 1 | Episode 7
7,Cold Steel,The Punisher,8.9,53,Antonio Campos,Season 1 | Episode 8
8,Front Toward Enemy,The Punisher,9.0,54,Marc Jobst,Season 1 | Episode 9
9,Virtue of the Vicious,The Punisher,9.2,49,Jim O'Hanlon,Season 1 | Episode 10
10,Danger Close,The Punisher,9.3,52,Kevin Hooks,Season 1 | Episode 11
11,Home,The Punisher,9.5,51,Jet Wilkinson,Season 1 | Episode 12
12,Memento Mori,The Punisher,9.2,55,Stephen Surjik,Season 1 | Episode 13
13,Roadhouse Blues,The Punisher,9.1,53,Jim O'Hanlon,Season 2 | Episode 1
14,Fight or Flight,The Punisher,8.5,55,Jim O'Hanlon,Season 2 | Episode 2
15,Trouble the Water,The Punisher,9.1,51,Jeremy Webb,Season 2 | Episode 3
16,Scar Tissue,The Punisher,8.2,58,Iain B. MacDonald,Season 2 | Episode 4
17,One-Eyed Jacks,The Punisher,8.7,51,Stacie Passon,Season 2 | Episode 5
18,Nakazat,The Punisher,8.4,57,Jamie M. Dagg,Season 2 | Episode 6
19,One Bad Day,The Punisher,8.8,52,Jet Wilkinson,Season 2 | Episode 7
20,My Brother's Keeper,The Punisher,8.7,49,Michael Offer,Season 2 | Episode 8
21,Flustercluck,The Punisher,8.7,58,Salli Richardson-Whitfield,Season 2 | Episode 9
22,The Dark Hearts of Men,The Punisher,9.1,47,Alex Garcia Lopez,Season 2 | Episode 10
23,The Abyss,The Punisher,8.9,55,Meera Menon,Season 2 | Episode 11
24,Collision Course,The Punisher,9.2,50,Stephen Kay,Season 2 | Episode 12
25,The Whirlwind,The Punisher,9.3,58,Jeremy Webb,Season 2 | Episode 13
26,Episode #1.1,Sex Education,8.2,52,Ben Taylor,Season 1 | Episode 1
27,Episode #1.2,Sex Education,8.2,49,Ben Taylor,Season 1 | Episode 2
28,Episode #1.3,Sex Education,8.6,50,Ben Taylor,Season 1 | Episode 3
29,Episode #1.4,Sex Education,8.3,46,Ben Taylor,Season 1 | Episode 4
30,Episode #1.5,Sex Education,9.0,45,Kate Herron,Season 1 | Episode 5
31,Episode #1.6,Sex Education,8.3,49,Kate Herron,Season 1 | Episode 6
32,Episode #1.7,Sex Education,8.8,51,Kate Herron,Season 1 | Episode 7
33,Episode #1.8,Sex Education,8.5,45,Kate Herron,Season 1 | Episode 8
34,Pilot,You,8.5,48,Lee Toland Krieger,Season 1 | Episode 1
35,The Last Nice Guy In New York,You,8.4,45,Lee Toland Krieger,Season 1 | Episode 2
36,Maybe,You,8.1,43,Marcos Siega,Season 1 | Episode 3
37,The Captain,You,7.8,42,Victoria Mahoney,Season 1 | Episode 4
38,Living with the Enemy,You,8.4,45,Marta Cunningham,Season 1 | Episode 5
39,Amour Fou,You,8.5,45,Marcos Siega,Season 1 | Episode 6
40,Everythingship,You,7.8,41,Kellie Cyrus,Season 1 | Episode 7
41,"You Got Me, Babe",You,8.0,45,Erin Feeley,Season 1 | Episode 8
42,Candace,You,8.9,45,Martha Mitchell,Season 1 | Episode 9
43,Bluebeard's Castle,You,8.8,49,Marcos Siega,Season 1 | Episode 10
44,Episode #2.1,You,NA,1,Penn Badgley,Season 2 | Episode 1
45,Winter Is Coming,Game of Thrones,9.0,12,Timothy Van Patten,Season 1 | Episode 1
46,The Kingsroad,Game of Thrones,8.8,56,Timothy Van Patten,Season 1 | Episode 2
47,Lord Snow,Game of Thrones,8.7,58,Brian Kirk,Season 1 | Episode 3
48,"Cripples, Bastards, and Broken Things",Game of Thrones,8.8,56,Brian Kirk,Season 1 | Episode 4
49,The Wolf and the Lion,Game of Thrones,9.1,55,Brian Kirk,Season 1 | Episode 5
50,A Golden Crown,Game of Thrones,9.2,53,Daniel Minahan,Season 1 | Episode 6
51,You Win or You Die,Game of Thrones,9.3,58,Daniel Minahan,Season 1 | Episode 7
52,The Pointy End,Game of Thrones,9.1,59,Daniel Minahan,Season 1 | Episode 8
53,Baelor,Game of Thrones,9.6,57,Alan Taylor,Season 1 | Episode 9
54,Fire and Blood,Game of Thrones,9.5,53,Alan Taylor,Season 1 | Episode 10
55,The North Remembers,Game of Thrones,8.9,53,Alan Taylor,Season 2 | Episode 1
56,The Night Lands,Game of Thrones,8.6,54,Alan Taylor,Season 2 | Episode 2
57,What Is Dead May Never Die,Game of Thrones,8.9,53,Alik Sakharov,Season 2 | Episode 3
58,Garden of Bones,Game of Thrones,8.9,51,David Petrarca,Season 2 | Episode 4
59,The Ghost of Harrenhal,Game of Thrones,8.9,55,David Petrarca,Season 2 | Episode 5
60,The Old Gods and the New,Game of Thrones,9.1,54,David Nutter,Season 2 | Episode 6
61,A Man Without Honor,Game of Thrones,9.0,56,David Nutter,Season 2 | Episode 7
62,The Prince of Winterfell,Game of Thrones,8.9,54,Alan Taylor,Season 2 | Episode 8
63,Blackwater,Game of Thrones,9.7,55,Neil Marshall,Season 2 | Episode 9
64,Valar Morghulis,Game of Thrones,9.4,14,Alan Taylor,Season 2 | Episode 10
65,Valar Dohaeris,Game of Thrones,8.9,55,Daniel Minahan,Season 3 | Episode 1
66,"Dark Wings, Dark Words",Game of Thrones,8.7,56,Daniel Minahan,Season 3 | Episode 2
67,Walk of Punishment,Game of Thrones,8.9,56,David Benioff,Season 3 | Episode 3
68,And Now His Watch Is Ended,Game of Thrones,9.6,53,Alex Graves,Season 3 | Episode 4
69,Kissed by Fire,Game of Thrones,9.0,57,Alex Graves,Season 3 | Episode 5
70,The Climb,Game of Thrones,8.9,53,Alik Sakharov,Season 3 | Episode 6
71,The Bear and the Maiden Fair,Game of Thrones,8.8,58,Michelle MacLaren,Season 3 | Episode 7
72,Second Sons,Game of Thrones,9.1,56,Michelle MacLaren,Season 3 | Episode 8
73,The Rains of Castamere,Game of Thrones,9.9,51,David Nutter,Season 3 | Episode 9
74,Mhysa,Game of Thrones,9.2,13,David Nutter,Season 3 | Episode 10
75,Two Swords,Game of Thrones,9.1,58,D.B. Weiss,Season 4 | Episode 1
76,The Lion and the Rose,Game of Thrones,9.7,52,Alex Graves,Season 4 | Episode 2
77,Breaker of Chains,Game of Thrones,8.9,57,Alex Graves,Season 4 | Episode 3
78,Oathkeeper,Game of Thrones,8.9,55,Michelle MacLaren,Season 4 | Episode 4
79,First of His Name,Game of Thrones,8.8,53,Michelle MacLaren,Season 4 | Episode 5
80,The Laws of Gods and Men,Game of Thrones,9.7,51,Alik Sakharov,Season 4 | Episode 6
81,Mockingbird,Game of Thrones,9.2,51,Alik Sakharov,Season 4 | Episode 7
82,The Mountain and the Viper,Game of Thrones,9.7,52,Alex Graves,Season 4 | Episode 8
83,The Watchers on the Wall,Game of Thrones,9.6,51,Neil Marshall,Season 4 | Episode 9
84,The Children,Game of Thrones,9.7,15,Alex Graves,Season 4 | Episode 10
85,The Wars to Come,Game of Thrones,8.6,53,Michael Slovis,Season 5 | Episode 1
86,The House of Black and White,Game of Thrones,8.6,56,Michael Slovis,Season 5 | Episode 2
87,High Sparrow,Game of Thrones,8.7,1,Mark Mylod,Season 5 | Episode 3
88,Sons of the Harpy,Game of Thrones,8.8,51,Mark Mylod,Season 5 | Episode 4
89,Kill the Boy,Game of Thrones,8.7,57,Jeremy Podeswa,Season 5 | Episode 5
90,"Unbowed, Unbent, Unbroken",Game of Thrones,8.1,54,Jeremy Podeswa,Season 5 | Episode 6
91,The Gift,Game of Thrones,9.1,59,Miguel Sapochnik,Season 5 | Episode 7
92,Hardhome,Game of Thrones,9.9,11,Miguel Sapochnik,Season 5 | Episode 8
93,The Dance of Dragons,Game of Thrones,9.5,52,David Nutter,Season 5 | Episode 9
94,Mother's Mercy,Game of Thrones,9.0,1,David Nutter,Season 5 | Episode 10
95,The Red Woman,Game of Thrones,8.6,50,Jeremy Podeswa,Season 6 | Episode 1
96,Home,Game of Thrones,9.5,54,Jeremy Podeswa,Season 6 | Episode 2
97,Oathbreaker,Game of Thrones,8.8,52,Daniel Sackheim,Season 6 | Episode 3
98,Book of the Stranger,Game of Thrones,9.2,59,Daniel Sackheim,Season 6 | Episode 4
99,The Door,Game of Thrones,9.7,57,Jack Bender,Season 6 | Episode 5
100,Blood of My Blood,Game of Thrones,8.5,52,Jack Bender,Season 6 | Episode 6
101,The Broken Man,Game of Thrones,8.7,51,Mark Mylod,Season 6 | Episode 7
102,No One,Game of Thrones,8.4,59,Mark Mylod,Season 6 | Episode 8
103,Battle of the Bastards,Game of Thrones,9.9,1,Miguel Sapochnik,Season 6 | Episode 9
104,The Winds of Winter,Game of Thrones,9.9,18,Miguel Sapochnik,Season 6 | Episode 10
105,Dragonstone,Game of Thrones,8.7,59,Jeremy Podeswa,Season 7 | Episode 1
106,Stormborn,Game of Thrones,9.0,59,Mark Mylod,Season 7 | Episode 2
107,The Queen's Justice,Game of Thrones,9.3,13,Mark Mylod,Season 7 | Episode 3
108,The Spoils of War,Game of Thrones,9.8,50,Matt Shakman,Season 7 | Episode 4
109,Eastwatch,Game of Thrones,9.0,59,Matt Shakman,Season 7 | Episode 5
110,Beyond the Wall,Game of Thrones,9.2,110,Alan Taylor,Season 7 | Episode 6
111,The Dragon and the Wolf,Game of Thrones,9.6,120,Jeremy Podeswa,Season 7 | Episode 7
112,Episode #8.1,Game of Thrones,NA,57,David Nutter,Season 8 | Episode 1
113,Episode #8.2,Game of Thrones,NA,57,David Nutter,Season 8 | Episode 2
114,Episode #8.3,Game of Thrones,NA,57,Miguel Sapochnik,Season 8 | Episode 3
115,Episode #8.4,Game of Thrones,NA,57,David Nutter,Season 8 | Episode 4
116,Episode #8.5,Game of Thrones,NA,57,Miguel Sapochnik,Season 8 | Episode 5
