,tv_show_name,tv_show_id,imdb_rating,votes,tv_show_description,runtime,genre,star_cast,start_year,end_year
0,The Punisher,tt5675620,8.6,130141,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",53,"Action, Adventure, Crime","['Jon Bernthal', 'Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']",2017,
1,Sex Education,tt7767422,8.5,26599,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,45,"Comedy, Drama","['Asa Butterfield', 'Gillian Anderson', 'Emma Mackey', 'Alistair Petrie']",2019,
2,You,tt7335184,8.0,37417,A clever bookstore manager relies on his savvy Internet know-how to make the woman of his dreams fall in love with him.,60,"Crime, Drama, Romance","['Penn Badgley', 'Elizabeth Lail', 'Luca Padovan', 'Zach Cherry']",2018,
3,Game of Thrones,tt0944947,9.5,1404194,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",57,"Action, Adventure, Drama","['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",2011,
4,True Detective,tt2356777,9.0,423386,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,"Crime, Drama, Mystery","['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",2014,
5,Titans,tt1043813,8.2,26232,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,45,"Action, Adventure, Drama","['Teagan Croft', 'Brenton Thwaites', 'Anna Diop', 'Ryan Potter']",2018,
6,Grace and Frankie,tt3609352,8.3,26314,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.",30,Comedy,"['Jane Fonda', 'Lily Tomlin', 'Sam Waterston', 'Martin Sheen']",2015,
7,Vikings,tt2306299,8.6,322614,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",44,"Action, Adventure, Drama","['Gustaf Skarsgård', 'Katheryn Winnick', 'Alexander Ludwig', 'Travis Fimmel']",2013,
8,The Orville,tt5691552,7.9,40244,An exploratory ship from Earth faces intergalactic challenges 400 years in the future.,44,"Adventure, Comedy, Drama","['Seth MacFarlane', 'Adrianne Palicki', 'Penny Johnson Jerald', 'Scott Grimes']",2017,
9,Star Trek: Discovery,tt5171438,7.4,58941,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",60,"Action, Adventure, Drama","['Sonequa Martin-Green', 'Doug Jones', 'Anthony Rapp', 'Mary Wiseman']",2017,
